진행 상태,담당자,분류,주기능,상세 기능,URI,Method,Description,Request,Response,HTTP Status
완료,민주 김,회원관리,"회원가입, 로그인","카카오톡 회원가입, 로그인",/api/auth/login,GET,"로그인, 회원가입",,,"200, 401"
완료,민주 김,회원관리,accessToken 재발급,401을 받았을 때 만료된 accessToken 재발급,/api/auth/reissue,GET,만료된 accessToken 재발급을 위해 refreshToken으로 요청,"[ Header ]
- Content-Type: application/json

[Body]
{
  “refreshToken”:  
}","{
  “accessToken”:  “eyJhbGciOiJIUzI1NiJ9…”
}",200
완료,민주 김,회원관리,,"로그인 후 user_id, family_id 반환",/api/users/me,GET,,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}","{
  “userId”: 1,
  “familyId”: 1 // 가입 안했으면 null
  “role”: “USER”
}","200, 401"
완료,민주 김,회원관리,,프로필,/api/users/{userId},GET,회원 이름 최대 10자,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}","{
  “name”: “ㅇㅇㅇ”
  “profileUrl”: “https://..”
  “birth”: “2000-01-01”
  “phoneNumber”: “010-1234-5678”
  “familyId”: 1
  “gender”: “F”
}","200, 403, 404"
완료,민주 김,"편지, 회원관리",,안 읽은 편지가 있는지,/api/users/letter,GET,"읽지 않은 편지가 있으면 true, 없으면 fasle","[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}","{
  “isUnread”: true/false
}","200, 404"
완료,민주 김,회원관리,회원정보 수정,회원정보 수정,/api/users/{userId},PATCH,,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}

[ Body ]
{
  “birth”: “2000-01-01”
  “gender”: “F”
  “name”:  “ㅇㅇㅇ”
  “phoneNumber”: “010-1234-5678”
  “isProfileUpdate”: true/false
}

바꾸고 싶은 것만 내용에 담아서 전달
{
  “name”: “이름 변경”
}","{
  ""presignedUrl"": “https://.."",
  ""fileName"": ""users/{UUID}""
}","200, 401, 403, 404"
완료,민주 김,회원관리,,로그아웃,/api/auth/logout,GET,,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}","{
}","200, 400, 401"
완료,현진,손글씨,손글씨 관리,폰트 조회하기,/api/fonts,GET,"만들어진 폰트 조회
& 폰트 다운로드 링크","[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}","{
  “fontId”: 1,
  “fontName”: 한글명(김싸피체),
  “createdAt”: “2025-04-09T05..”,
  “presignedUrl”: 폰트 다운로드 링크 
  ""fileName"": ""font/{userId}/김싸피체.ttf"",
  “status”: “NOT_CREATED” 
}","200, 401"
완료,현진,손글씨,,폰트 삭제하기,/api/fonts/{fontId},DELETE,만들어진 내 폰트 삭제 요청,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}","{
}","200, 401, 403, 404"
완료,현진,손글씨,손글씨 폰트화,폰트 템플릿 다운로드,/api/fonts/template,GET,템플릿을 제공하는 방식일 경우 다운로드 받을 수 있는 링크 제공,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}","{
  “presignedUrl”: 템플릿 다운로드 링크
  “fileName”: template/fontTemplate.zip
}","200, 401"
완료,현진,손글씨,,폰트 생성 요청 (폰트 템플릿 업로드),/api/fonts,POST,폰트 이름 & 작성한 템플릿 이미지 저장할 Presigned URL 제공,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}

[ Body ]
{
   “fontName”: 한글명
}","[
  {
     ""presignedUrl"": ""…"",
     ""fileName"": ""template/{userId}/1.png”
  },
  …
]","200, 400, 401, 404"
완료,현진,"관리자, 손글씨",,폰트 생성 요청 목록,/api/admin/fonts,GET,폰트 생성을 요청한 사용자 목록 반환,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}","[
   {
      “fontId”: 폰트 ID
      “userName”: 요청한 사용자 이름,
      “fontName”: 요청한 폰트 이름,
      “createdAt”: “2025-04-09T..”,
      “files”: [
         {
            ""presignedUrl”: “…”
            “fileName”: “template/{userId}/1.png”
         },
         …
      ]
   },
   …
]","200, 401, 403"
완료,현진,"관리자, 손글씨",,폰트 생성 완료,/api/admin/fonts/{fontId},POST,"파일 이름 DB 저장
관리자에게 알림 전송
프론트에게 presignedUrl 응답하면 프론트쪽에서 ttf 파일 S3에 저장
","[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}
","{
  “presignedUrl”: ttf 파일 업로드 링크
  “fileName”: “font/{userId}/{fontName}.ttf”
}","200, 401, 403, 404"
완료,현진,"관리자, 손글씨",,폰트 생성 취소,/api/admin/fonts/{fontId},DELETE,"파일 형식이 잘못 됐을 경우 취소, 신청한 사용자에게 알림 전송","[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}","{
}","200, 401, 403, 404"
완료,현진,"그룹, 손글씨",,가족 폰트 조회,/api/fonts/family/{familyId},GET,"그룹 내의 전체 폰트 조회

• NOT_CREATED: 폰트 생성을 요청한 적이 없는 경우
• REQUESTED: 폰트 생성이 요청되어 처리 중인 경우
• DONE: 폰트 생성이 완료되어 사용이 가능한 경우","[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}","[
 {
   “userId”: 1,
   “userName”: “ㅇㅇㅇ”,
   “fontName”: “aaa”,
   “fileName”: “font/{userId}/{fontName}.ttf”
   “status”: “NOT_CREATED”
  },
  …
]","200, 401, 403"
완료,민주 김,그룹,가족 생성,가족 생성하기,/api/family,POST,"가족 이름 정해서 가족 생성
- 가족 이름 최대 10자","[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}

[ Body ]
{
  “familyName”: “가족 이름”,
}","{
 “familyId”: 생성한 가족 ID
 ""presignedUrl"": “https://.."",
 ""fileName"": ""family/{UUID}.png""
}","200, 400, 401"
완료,민주 김,그룹,,가족 초대코드 만들기(보기),/api/family/{familyId}/invite,GET,"초대 코드는 Redis에 저장
만들어진 이후 24시간동안 유효","[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}
","{
  “code”: 12345678
}","200, 401, 403"
완료,민주 김,그룹,,가족 정보 보기,/api/family/{familyId},GET,"헤더에서 가족 정보(가족 이름, 썸네일, 구성원 정보) 받기 ","[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}","{
  “familyName”: “구미에 오손도손 가족”,
  “thumbnailUrl”: “https://…”,
  “familyMembers”: [
     {
        “userId”: 1,
        “name”: “엄마”,
        “profileUrl”: “https://..”
        “birth”: “2000-01-01”,
        “phoneNumber”: “010-1234-5678”
      }
   ]
}","200, 400, 401"
완료,민주 김,그룹,,가족 정보 수정하기,/api/family/{familyId},PATCH,,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}

[ Body ]
{
  “familyName”: “수정”,
  “isThumbnailUpdate”: true/false
}","{
  ”familyId”: 1,
  ""presignedUrl"": ""https://.."",
  ""fileName"": ""family/{UUID}.png""
}","200, 400, 401"
완료,민주 김,그룹,그룹 가입,"초대 코드 확인하기 ",/api/family/code,POST,그룹 가입시 초대코드 입력해서 유효한 초대코드인지 확인,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}

[ Body ]
{
  “code”: “12345678”
}","{
  “famliyId”: 1
}","200, 400, 401"
완료,민주 김,그룹,,"가족 가입하기 ",/api/family/join,POST,"그룹 가입시 생년월일, 성별, 이름, 전화번호 입력 받음

이름 10자","[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}

[ Body ]
{
  “familyId”: 1,
  “birth”: “2025-01-01”,
  “gender”: “F”,
  “name”: “닉네임”,
  “phoneNumber”: “010-1234-5678”
}","{
""presignedUrl"": ""…"",
""fileName"": ""user/{UUID}""
}","200, 400, 401"
